No,Keywords,Volume,Position,Est. Visits,SEO Difficulty,CPC,Ranking URL
106,steam shower,18100,6,157,39,2.63,http://thisoldhouse.com/bathrooms/steam-shower-how-it-works
107,archway installation,3600,2,157,23,0,http://thisoldhouse.com/doors/how-to-create-an-archway
108,homedepot rent a truck,201000,10,156,29,0.26,http://thisoldhouse.com/moving/home-depot-truck-rental
109,home depot rent a truck,201000,10,156,29,0.26,http://thisoldhouse.com/moving/home-depot-truck-rental
110,mildew smell ac,4400,3,156,39,2.67,http://thisoldhouse.com/heating-cooling/air-conditioner-smells-musty
111,cheap moving companies,9900,5,155,37,25.3,http://thisoldhouse.com/moving/cheap-moving-companies
112,air conditioner mildew smell,4400,3,152,30,2.67,http://thisoldhouse.com/heating-cooling/air-conditioner-smells-musty
113,modern plumbing,2400,2,152,32,13.01,http://thisoldhouse.com/plumbing/history-of-modern-plumbing
114,ac smells like mildew,4400,3,152,31,2.67,http://thisoldhouse.com/heating-cooling/air-conditioner-smells-musty
115,how to bleed radiator heating,4400,3,152,24,0,http://thisoldhouse.com/plumbing/how-to-bleed-a-radiator
116,trailer hitch prices installed,9900,5,151,28,1.25,http://thisoldhouse.com/moving/trailer-hitch-installation-cost
117,best home warranty provider,9900,5,151,31,45.45,http://thisoldhouse.com/home-finances/home-warranty-california
118,attic fan solar powered,9900,5,150,32,1.35,http://thisoldhouse.com/fans/how-to-install-a-solar-attic-fan
119,hygrometer home,40500,8,149,42,0.44,http://thisoldhouse.com/heating-cooling/best-hygrometer
120,windows replacement,60500,9,148,55,58.07,http://thisoldhouse.com/windows/window-replacement-cost
121,plunge pools,33100,7,146,34,1.47,http://thisoldhouse.com/pools/all-about-plunge-pools
122,steel wool,49500,9,145,37,0.42,http://thisoldhouse.com/10-uses-for/steel-wool
123,air con compressor cost,4400,4,144,35,5.77,http://thisoldhouse.com/heating-cooling/ac-compressor-cost
124,shingle roof,33100,7,139,61,2.81,http://thisoldhouse.com/roofing/shingle-roof-cost
